YEAR,ORISPL,PNAME,PSTATABB,PLPRMFL,PLHTIAN,PLNGENAN,NAMEPCAP,CAPFAC,PLCO2AN
2018,7,Gadsden,AL,NG,2449127.525,188877,138,0.15624,145370.236
2018,9,Copper Station,TX,NG,792909,47287,86.9,0.06212,46341.193
2018,10,Greene County,AL,NG,12728036,1173090.998,1288.4,0.10394,766562.3
2018,30,Madelia,MN,NG,154.001,-206,11.8,0,9.002
2018,47,Colbert,AL,NG,1005817,68000,1826,0.00425,59658.9
2018,54,Smith Generating Facility,KY,NG,4856154,394471,1663.4,0.02707,289545.4
2018,75,Anchorage 1,AK,NG,387517,28937,121.4,0.02721,22650.454
2018,96,Beluga,AK,NG,706080.999,37831.999,374.4,0.01154,41266.571
2018,99,Frederickson,WA,NG,854109,29871,177.8,0.01918,49917.998
2018,116,Ocotillo Power Plant,AZ,NG,3270036,270759.998,1034,0.02989,194337.4
2018,117,APS West Phoenix Power Plant,AZ,NG,17944124,2984982,1326.9,0.2568,1066392.6
2018,118,APS Saguaro Power Plant,AZ,NG,895692,109364.999,435.5,0.02867,53228.8
2018,120,Yucca Power Plant,AZ,NG,5071184,456777,425,0.12269,301375.2
2018,124,De Moss Petrie Generating Station,AZ,NG,78643,5154,85,0.00692,4673.5
2018,126,Irvington Generating Station,AZ,NG,15830088,1412423,793.5,0.2032,953707.8
2018,141,Agua Fria Generating Station,AZ,NG,1810489,148612.001,613.5,0.02765,107595.4
2018,147,Kyrene Generating Station,AZ,NG,6091569,853210.001,573.7,0.16977,362015.8
2018,160,Apache Station,AZ,NG,20877233,1773343,660.7,0.3064,1570975.5
2018,165,Grand River Dam Authority,OK,NG,23170299,2682303,1734.3,0.17655,1645410.5
2018,170,Lake Catherine,AR,NG,3526214,289084,752,0.04388,209556.7
2018,201,Thomas Fitzhugh,AR,NG,2543071,272862,185,0.16837,151154.7
2018,202,Carl Bailey,AR,NG,190973,14199,120,0.01351,11454.1
2018,203,McClellan,AR,NG,777804,61046,136,0.05124,46334.5
2018,246,Humboldt Bay,CA,NG,3372675,383862,269.4,0.16266,197114.4
2018,260,Moss Landing,CA,NG,30387455,4178781.84,3102,0.15378,1715516.9
2018,302,Cabrillo Power I Encina Power Station,CA,NG,5218992,299121,999.6,0.03416,310155.9
2018,315,AES Alamitos,CA,NG,12712766,958300,2055,0.05323,755497.1
2018,330,El Segundo,CA,NG,8998111,1054778,1533.8,0.0785,534743.5
2018,335,AES Huntington Beach,CA,NG,3762509,319522,1021,0.03572,223596.9
2018,341,Long Beach Generating Station,CA,NG,397997,22511,587.4,0.00437,23652.4
2018,350,Ormond Beach Generating Station,CA,NG,2169947,186015,1612,0.01317,128956.5
2018,356,AES Redondo Beach,CA,NG,3596623,274507,1316.4,0.0238,213742.7
2018,358,Mountainview Generating Station,CA,NG,15211441,2091874.84,1167.4,0.20456,903995.1
2018,377,Grayson Power Plant,CA,NG,1837480,140780,353.9,0.04541,104184.85
